category,name,price,description
California,7 Cellars The Farm Collection Pinot Noir,28.49,(750ml 14.50%) California
California,Barefoot Bubbly Pinot Grigio,13.99,(750ml 11.00%) California
Canada,Bask Pinot Noir,37.99,(3Litre 12.50%) Canada
Canada,Bearface 7 Yo Triple Oak Canadian Whisky,39.99,(750ml 42.50%) Canada
California,Belle Glos Glasir Holt Chardonnay,57.99,(750ml 14.50%) California
Canada,Bullet Banana Rama Liqueur,1.99,(28ml 16.00%) Canada
Canada,Bullet Jolly Shot Liqueur,1.99,(28ml 16.00%) Canada
Canada,Bullet Sour Orange Liqueur,1.99,(28ml 16.00%) Canada
Italy,Campari Negroni,23.56,(375ml 26.00%) Italy
Mexico,Casamigos Blanco Tequila,48.99,(375ml 40.00%) Mexico
France,Caves D Esclans Sacha Lichine Whispering Angel Rose,17.93,(375ml 13.00%) France
Mexico,Cazadores Paloma,12.99,(4x355ml 5.90%) Mexico
Washington State,Charles & Charles Double Trouble Red,23.99,(750ml 13.30%) Washington State
France,Chateau Belle Vue 2019,36.38,(750ml 14.00%) France
France,Chateau Beychevelle 2019,164.19,(750ml 13.70%) France
France,Chateau Canon La Gaffeliere 2019,153.35,(750ml 14.00%) France
France,Chateau Cap De Faugeres 2019,26.41,(750ml 14.00%) France
France,Chateau Clerc Milon 2019,149.72,(750ml 14.00%) France
France,Chateau Clinet 2019,161.81,(750ml 14.50%) France
France,Chateau D'Armailhac 2019,91.69,(750ml 14.00%) France
France,Chateau D'Issan 2019,109.79,(750ml 13.40%) France
France,Chateau Faugeres 2019,75.37,(750ml 14.00%) France
France,Chateau Gloria 2019,77.18,(750ml 14.00%) France
France,Chateau Gruaud Larose 2019,160.6,(750ml 14.00%) France
France,Chateau Lagrange Grand Cru Classe~ 2019,93.5,(750ml 14.00%) France
France,Chateau Lynch Bages 2019,204.13,(750ml 14.10%) France
France,Chateau Mouton Rothschild 2019,856.99,(750ml 14.00%) France
France,Chateau Phelan Segur 2019,83.23,(750ml 14.50%) France
France,Chateau Talbot Grand Cru Classe 2019,106.2,(750ml 14.10%) France
France,Clos Marsalette Blanc 2019,48.13,(750ml 13.00%) France
France,Clos Marsalette Rouge 2019,43.63,(750ml 14.00%) France
France,Connetable Talbot 2019,53.61,(750ml 13.80%) France
Canada,Coors Light,30.49,(15x341ml 4.00%) Canada
Canada,Copper Moon Chardonnay,42.99,(4Litre 12.00%) Canada
Canada,Cowbell Brewing Absent Landlord Kolsch Ale,4.45,(473ml 5.30%) Canada
Canada,Cowbell Brewing Hazy Days Juicy Ipa,4.75,(473ml 6.00%) Canada
Mexico,Del Maguey Vida Mezcal,64.99,(750ml 42.00%) Mexico
Ireland,Drumshanbo Gunpowder Irish Gin,6.49,(50ml 43.00%) Ireland
California,Duckhorn Vineyards Howell Mountain Cabernet Sauvignon 2018,129.59,(750ml 14.50%) California
Manitoba,Farmery Premium Non Alcoholic Beer,2.99,(473ml 0.50%) Manitoba
Mexico,Flecha Azul Blanco Tequila,82.99,(750ml 40.00%) Mexico
Italy,Folonari Pinot Grigio Delle Venezie Doc,8.99,(375ml 12.00%) Italy
South Korea,Good Day Lychee Soju,10.99,(360ml 12.50%) South Korea
South Korea,Good Day Pineapple Soju,10.99,(360ml 13.50%) South Korea
Manitoba,Good Neighbour Brewing Tangerine Wheat Ale,4.25,(473ml 5.00%) Manitoba
Mexico,Gran Coramino Cristalino Reposado Tequila,74.95,(750ml 40.00%) Mexico
Canada,Granville Island Brewing Summer Sours Mixology Pack,26.29,(12x355ml 5.00%) Canada
Canada,Great Western Radler,25.99,(12x355ml 2.50%) Canada
California,High Noon Hard Seltzer Pool Pack,22.95,(8x355ml 4.50%) California
South Korea,Hwayo 25 Premium Soju,26.99,(375ml 25.00%) South Korea
Indiana,Jose Cuervo Classic Margarita,22.99,(1.75Litre 9.95%) Indiana
Indiana,Jose Cuervo Peach Lemonade Margarita,22.99,(1.75Litre 9.95%) Indiana
California,Josh Cellars Reserve Paso Robles Cabernet Sauvignon,26.99,(750ml 14.00%) California
Mexico,Kamora Coffee Liqueur,36.99,(1.14Litre 20.00%) Mexico
Manitoba,Kilter Brewing Throwback West Coast Ipa,4.5,(473ml 7.00%) Manitoba
France,Lacoste Borie 2019,55.42,(750ml 14.00%) France
Canada,Lake Of The Woods Brewing Island Vibes Cherry Sour,4.5,(473ml 5.00%) Canada
Canada,Lake Of The Woods Brewing Island Vibes Strawberry Rhubarb Sour,4.5,(473ml 5.00%) Canada
Canada,Lake Of The Woods Brewing Sneaky Peach Pale Ale,3.99,(473ml 5.00%) Canada
California,Lemonade Stand At Main & Vine Lemonade Moscato,10.99,(750ml 6.50%) California
Manitoba,Little Brown Jug Brewing Queer Beer,3.76,(473ml 4.60%) Manitoba
France,Louis Jadot Bourgogne Gamay Aoc,34.99,(750ml 13.00%) France
Manitoba,Low Life Barrel House Piquette Rose,5.99,(355ml 6.80%) Manitoba
Manitoba,Low Life Barrel House Piquette Rouge,5.99,(355ml 7.00%) Manitoba
Canada,Lulu Spritz,2.99,(355ml 7.00%) Canada
Mexico,Maestro Dobel Diamonte Tequila,59.99,(750ml 40.00%) Mexico
Kentucky,Makerâ€™ S Mark 101 Kentucky Straight Bourbon Whisky,84.99,(750ml 50.50%) Kentucky
Canada,Malibu Pineapple Bay Breeze,13.49,(4x355ml 7.00%) Canada
Canada,Moosehead Chelada Lime & Salt,27.49,(12x355ml 4.00%) Canada
Canada,Moosehead Radler Mix Pack,24.9,(12x355ml 4.00%) Canada
Canada,Motts Clamato Caesar Original,29.99,(12x341ml 5.50%) Canada
Manitoba,Nonsuch Brewing Cherry Limeaid Sour,4.8,(473ml 5.50%) Manitoba
Manitoba,Nonsuch Brewing Citrus Sour,4.8,(473ml 5.60%) Manitoba
Manitoba,Nonsuch Brewing Irish Red,4.3,(473ml 5.00%) Manitoba
Manitoba,Nonsuch Brewing Lemondrop Dry Hopped Sour,4.8,(473ml 5.00%) Manitoba
Manitoba,Nonsuch Brewing Mango Farmhouse Ale,4.8,(473ml 6.20%) Manitoba
Alberta,Ole Cocktail Margarita,14.99,(4x355ml 5.20%) Alberta
Alberta,Ole Tequila Variety Pack,28.99,(8x355ml 5.20%) Alberta
California,One Hope Cabernet Sauvignon,21.45,(750ml 13.50%) California
California,Opus One 2019,661.08,(750ml 13.50%) California
Manitoba,Oxus Behemoth Ryewine,5.05,(355ml 9.50%) Manitoba
Mexico,Patron Reposado Tequila,51,(375ml 40.00%) Mexico
Mexico,Patron Silver Tequila,45.75,(375ml 40.00%) Mexico
Canada,Peller Family Vineyards Malbec,42.49,(4Litre 14.00%) Canada
France,Pere Alselme La Fiole Reserve Cotes Du Rhone Villages Aoc,29.99,(750ml 14.50%) France
France,Pere Anselme La Fiole Rose Cotes Du Rhone Aoc,16.49,(750ml 13.50%) France
Canada,Rebellion Brewing Amber Ale,4.46,(473ml 5.00%) Canada
Canada,Rebellion Brewing Beer! Ale,4.46,(473ml 4.80%) Canada
Italy,Santa Margherita Valdobbiadene Prosecco Docg,12.99,(375ml 11.50%) Italy
Canada,Sleeping Giant Brewing Northern Logger Golden Ale,3.39,(473ml 4.90%) Canada
Canada,Sleeping Giant Brewing White Out Hazy Ipa,3.75,(473ml 6.10%) Canada
Canada,Smimrnoff Raspberry Vodka,16.29,(375ml 35.00%) Canada
Manitoba,Sookrams Brewing Toros Amber Ale,4.29,(473ml 5.00%) Manitoba
Minnesota,Sour Puss Raspberry Liqueur,1.99,(50ml 15.00%) Minnesota
Minnesota,Sour Puss Raspberry Liqueur,8.49,(200ml 15.00%) Minnesota
Canada,Stanley Park Brewing Sunsetter Fruit Stand Mix Pack,26.99,(12x355ml 4.80%) Canada
Indiana,The Kraken Gold Spiced Rum,28.99,(750ml 35.00%) Indiana
France,The Pale Rose By Sacha Lichine,21.99,(750ml 13.00%) France
Manitoba,Torque Brewing Curmudgeon Sour Ipa,4.49,(473ml 6.00%) Manitoba
Manitoba,Torque Brewing Reality Bites Pale Ale,4.99,(473ml 5.00%) Manitoba